PROJECT_NAME,LATITUDE,LONGITUDE
DUKU COURT,1.3106239720000001,103.9060482
DUNEARN 386,1.324427011,103.8118362
DUNEARN ESTATE,1.325774089,103.82415400000001
DUNEARN SUITES,1.324696402,103.81071490000001
DUNMAN GARDEN,1.309033411,103.8936272
DUNMAN PLACE,1.309984709,103.89574549999999
DUNMAN REGENCY,1.309600997,103.8933537
DUNMAN VIEW,1.3100937590000001,103.8970698
DUNSFOLD 18,1.348447916,103.86054820000001
DUO RESIDENCES,1.299216621,103.8579968
DYNASTY GARDEN,1.323197808,103.79191
DYNASTY LODGE,1.323815623,103.792371
E MAISON,1.3434012659999999,103.8692186
E-SPACE,1.314050022,103.9148616
E7 LODGE,1.321672226,103.9105385
EALINE PARK,1.291918808,103.77125529999999
EAST BAY GARDENS,1.3183163820000001,103.91234370000001
EAST COAST HILL,1.317549468,103.9370708
EAST COAST PARK,1.313948524,103.92392609999999
EAST COAST RESIDENCES,1.314232222,103.9397736
EAST ELEGANCE,1.314944636,103.9055813
EAST GALLERIA,1.3057719159999999,103.907265
EAST GROVE,1.308772753,103.91298370000001
EAST MEADOWS,1.3287634590000001,103.9444294
EAST PALM,1.313491281,103.9313027
EAST SHINE,1.322755781,103.9097157
EAST SIGNATURE,1.312258581,103.9317419
EAST TREASURE,1.309432764,103.91082320000001
EAST VIEW,1.303948719,103.9035765
EAST VIEW 18,1.313292405,103.9048696
EAST VIEW GARDEN,1.343232376,103.9614535
EAST VILLAGE,1.331778949,103.94623670000001
EASTBAY,1.31290843,103.92931479999999
EASTCOVE RESIDENCES,1.314435071,103.90884759999999
EASTERN GROVE,1.323571635,103.9460026
EASTERN LAGOON,1.31283778,103.9332728
EASTPOINT GREEN,1.338985299,103.9509372
EASTREES,1.310834987,103.92171579999999
EASTSIDE LOFT,1.3107281659999999,103.89383559999999
EASTVILLE APARTMENTS,1.312819328,103.90308940000001
EASTWIND MANSIONS,1.314422567,103.9022802
EASTWOOD GREEN,1.322339359,103.9549229
EASTWOOD REGENCY,1.321136215,103.9575271
EASTWOOD VILLE,1.321723026,103.95695079999999
EASTWOOD WALK GARDENS,1.322868575,103.9569202
EATON PARK,1.38765969,103.87722049999999
EBER GARDENS,1.2988339279999999,103.84031590000001
EBONY MANSIONS,1.310256911,103.91038950000001
ECHELON,1.290736602,103.8180652
ECO,1.32349443,103.94494559999998
ECO SANCTUARY,1.3706340609999998,103.77570209999999
ECOPOLITAN,1.400793675,103.8972568
ECOVILLE,1.323837614,103.85088890000002
EDELWEISS PARK CONDOMINIUM,1.356544566,103.9679904
EDEN PARK,1.330381628,103.79224359999999
EDEN RESIDENCES CAPITOL,1.292991973,103.85104270000001
EDEN VIEW,1.344262286,103.87257290000001
EDENZ LOFT,1.3123100540000001,103.8835337
EDENZ SUITES,1.3128686379999999,103.8857671
EIGHT COURTYARDS,1.438546146,103.83137509999999
EIGHT RIVERSUITES,1.3216860129999999,103.864579
EIS RESIDENCES,1.307667435,103.899484
ELEVEN @ HOLLAND,1.328638477,103.78921629999999
ELIAS GREEN,1.370862262,103.94234329999999
ELIAS TERRACE,1.3720167109999999,103.942627
ELITE RESIDENCES,1.317011722,103.92394159999999
ELIZABETH HEIGHTS,1.307514165,103.8364025
ELLIOT AT THE EAST COAST,1.3110821670000001,103.9308079
EMERALD EAST,1.299633243,103.88383990000001
EMERALD GARDEN,1.281832412,103.8466367
EMERALD HILL CONSERVATION AREA,1.303453424,103.8392865
EMERALD PARK,1.289695236,103.8301736
EMERY POINT,1.311584143,103.89573829999999
EMILY RESIDENCE,1.3040876959999999,103.8491995
EMPRADO SUITES,1.310881155,103.915486
ENG AUN MANSION,1.323430897,103.842076
ENG AUN PARK,1.323645893,103.8425958
